fold,encoder_state_sha256,encoder_file_sha256,consumer_count,consumer_hashes_equal,cuda_forward_finite
0,d7fa4604dfaa1ebee6d8653f70b9d3e97266dbbdbb0eed573a7b43cd8a12948e,ad1258270010942f752c3f718fe912b5421bb22dcfed0b399d9d999754edbd56,4,True,True
1,c7a43fc72e50637ce6b918ec540301a4f59b69636f8b6f9d0810baaa89d4dd8e,22e4951581c3bb7126eb33837eec2d845efcb8056373a98fcd4b7e2eb0d745b6,4,True,True
2,ce78050e766b9d84333979f33833037407061529c449d41ecabfb672f4e31149,cbf463f8e7ccc771e2b78c949e8155744f96496a280a6c8a44d72fa93bc11abe,4,True,True
3,83d07375d8a470123f105d6d885b025da65024db48dca96aa4303dd92460c481,8de848cfd17a353cf5901215f2a4e829062e61b12d160e021bad937f416c9b8b,4,True,True
4,5d83267c5e8a3e89368d160f1a2ce46a387ca28cb2f6061c4bc55ffaca4afdf9,f43f1991db29d71d11dcaf68187905ecf2edbdc3519f6ac5b92d8c5c739d9151,4,True,True
