Model,Fold,Target,Requested,Valid,Undefined,Undefined rate,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Mixed-type CEM,4,sphericity,564,384,180,0.319,RES-P9-GRADCAM-MIXED_CEM-FOLD4-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,spiculation,564,564,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD4-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,subtlety,564,564,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD4-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,4,texture,564,561,3,0.005,RES-P9-GRADCAM-MIXED_CEM-FOLD4-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.folds[4].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,calcification,479,183,296,0.618,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,internalStructure,479,382,97,0.203,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,lobulation,479,479,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,malignancy,479,424,55,0.115,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,margin,479,479,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-MARGIN,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,sphericity,479,479,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,spiculation,479,433,46,0.096,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,subtlety,479,479,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,0,texture,479,479,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD0-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.folds[0].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,calcification,502,309,193,0.384,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,internalStructure,502,501,1,0.002,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,lobulation,502,502,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,malignancy,502,423,79,0.157,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,margin,502,502,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-MARGIN,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,sphericity,502,501,1,0.002,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,spiculation,502,500,2,0.004,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,subtlety,502,478,24,0.048,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,1,texture,502,502,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD1-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.folds[1].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,calcification,539,493,46,0.085,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,internalStructure,539,530,9,0.017,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,lobulation,539,452,87,0.161,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,malignancy,539,456,83,0.154,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,margin,539,529,10,0.019,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-MARGIN,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,sphericity,539,538,1,0.002,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,spiculation,539,530,9,0.017,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,subtlety,539,534,5,0.009,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,2,texture,539,529,10,0.019,RES-P9-GRADCAM-STANDARD_CBM-FOLD2-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.folds[2].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,calcification,549,548,1,0.002,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,internalStructure,549,538,11,0.020,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,lobulation,549,549,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,malignancy,549,535,14,0.026,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,margin,549,549,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-MARGIN,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,sphericity,549,549,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,spiculation,549,549,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,subtlety,549,522,27,0.049,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,3,texture,549,549,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD3-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.folds[3].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,calcification,564,405,159,0.282,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,internalStructure,564,555,9,0.016,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,lobulation,564,563,1,0.002,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,malignancy,564,560,4,0.007,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,margin,564,564,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-MARGIN,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,sphericity,564,564,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,spiculation,564,564,0,0.000,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,subtlety,564,563,1,0.002,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,4,texture,564,561,3,0.005,RES-P9-GRADCAM-STANDARD_CBM-FOLD4-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.folds[4].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
