Comparison (A vs B),Delta-MAE (A−B),95% CI,Crosses zero,Sign convention,Supported conclusion,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Black-box vs Learned-softmax GAM,0.020,0.010–0.031,False,Positive Δ favors B,SUPPORTS_B,RES-P9-PAIRED-MAE-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71
Black-box vs Mixed-type CEM,0.016,0.006–0.027,False,Positive Δ favors B,SUPPORTS_B,RES-P9-PAIRED-MAE-BLACKBOX-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71
Black-box vs Standard CBM,-0.002,-0.015–0.012,True,Positive Δ favors B,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO,RES-P9-PAIRED-MAE-BLACKBOX-VS-STANDARD_CBM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.blackbox__standard_cbm,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71
Mixed-type CEM vs Learned-softmax GAM,0.004,-0.006–0.013,True,Positive Δ favors B,NO_SUPPORTED_DIFFERENCE_CI_CROSSES_ZERO,RES-P9-PAIRED-MAE-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.mixed_cem__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71
Standard CBM vs Learned-softmax GAM,0.022,0.011–0.033,False,Positive Δ favors B,SUPPORTS_B,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.standard_cbm__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71
Standard CBM vs Mixed-type CEM,0.018,0.006–0.030,False,Positive Δ favors B,SUPPORTS_B,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-MIXED_CEM,ART-P9-BOOTSTRAP,paired_mae_A_minus_B.standard_cbm__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71
