Model,Target,Quantity,Saliency mean,Saliency median,Saliency−random mean,Saliency > random rate,Valid maps,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Learned-softmax GAM,sphericity,error_increase,-0.074,-0.033,-0.049,0.408,2602,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,spiculation,output_sensitivity,0.317,0.237,-2.059,0.005,2284,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,spiculation,error_increase,-0.309,-0.237,1.584,0.960,2284,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,subtlety,output_sensitivity,0.153,0.101,-1.673,0.010,2523,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,subtlety,error_increase,0.037,0.008,-1.350,0.139,2523,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,texture,output_sensitivity,0.218,0.145,-0.871,0.089,2474,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,texture,error_increase,-0.106,-0.068,-0.349,0.393,2474,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,calcification,output_sensitivity,0.103,0.044,-0.684,0.048,1916,RES-P9-FAITHFULNESS-MIXED_CEM-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,calcification,error_increase,-0.041,-0.001,0.130,0.494,1916,RES-P9-FAITHFULNESS-MIXED_CEM-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,internalStructure,output_sensitivity,0.060,0.028,-0.241,0.169,1747,RES-P9-FAITHFULNESS-MIXED_CEM-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
