Model,Ordering,Baseline MAE,k=4 MAE,k=8 MAE,iMAE,Delta_iMAE,Baseline AUROC,iAUC,Delta_iAUC,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Learned-softmax GAM,error_first,0.480,0.505,0.507,0.497,-0.016,0.949,0.932,-0.017,RES-P9-INTERVENTION-LEARNED_SOFTMAX_GAM-ERROR_FIRST,ART-P9-INTERVENTION,learned_softmax_gam.error_first,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7
Learned-softmax GAM,random_permutation,0.480,0.479,0.507,0.484,-0.003,0.949,0.943,-0.006,RES-P9-INTERVENTION-LEARNED_SOFTMAX_GAM-RANDOM_PERMUTATION,ART-P9-INTERVENTION,learned_softmax_gam.random_permutations,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7
Mixed-type CEM,error_first,0.484,0.440,0.436,0.445,0.040,0.942,0.960,0.018,RES-P9-INTERVENTION-MIXED_CEM-ERROR_FIRST,ART-P9-INTERVENTION,mixed_cem.error_first,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7
Mixed-type CEM,random_permutation,0.484,0.454,0.436,0.456,0.028,0.942,0.954,0.013,RES-P9-INTERVENTION-MIXED_CEM-RANDOM_PERMUTATION,ART-P9-INTERVENTION,mixed_cem.random_permutations,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7
Standard CBM,error_first,0.502,0.510,0.508,0.506,-0.004,0.933,0.922,-0.011,RES-P9-INTERVENTION-STANDARD_CBM-ERROR_FIRST,ART-P9-INTERVENTION,standard_cbm.error_first,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7
Standard CBM,random_permutation,0.502,0.500,0.508,0.501,0.001,0.933,0.929,-0.004,RES-P9-INTERVENTION-STANDARD_CBM-RANDOM_PERMUTATION,ART-P9-INTERVENTION,standard_cbm.random_permutations,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7
