Model,MAE (95% CI),RMSE (95% CI),Normalized MAE (95% CI),Pearson (95% CI),Spearman (95% CI),Prediction range (1–5),N,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Black-box,0.501 (0.483–0.520),0.642 (0.619–0.667),0.125 (0.121–0.130),0.716 (0.689–0.741),0.635 (0.599–0.668),0.489–5.120,2633,RES-P9-PRIMARY-BLACKBOX,ART-P9-TASK,models.blackbox.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01
Learned-softmax GAM,0.480 (0.462–0.498),0.618 (0.592–0.642),0.120 (0.116–0.125),0.741 (0.712–0.768),0.653 (0.616–0.688),1.008–4.682,2633,RES-P9-PRIMARY-LEARNED_SOFTMAX_GAM,ART-P9-TASK,models.learned_softmax_gam.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01
Mixed-type CEM,0.484 (0.467–0.502),0.628 (0.604–0.654),0.121 (0.117–0.126),0.730 (0.701–0.757),0.640 (0.604–0.673),0.823–4.935,2633,RES-P9-PRIMARY-MIXED_CEM,ART-P9-TASK,models.mixed_cem.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01
Standard CBM,0.502 (0.483–0.522),0.650 (0.625–0.675),0.126 (0.121–0.131),0.708 (0.677–0.735),0.609 (0.570–0.648),0.858–4.580,2633,RES-P9-PRIMARY-STANDARD_CBM,ART-P9-TASK,models.standard_cbm.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01
