catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-PRIMARY-BLACKBOX,CAT-C,pooled_primary_result,P9,blackbox,,,Pooled primary regression metrics and patient-bootstrap intervals,How accurately does the model predict radiologist-assessed malignancy?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-TASK,repo://,artifacts/baseline_v2/audit/p9/task.json,models.blackbox.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T07""]","[""RPT-F04""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""above_five_rate"":0.001139384732244588,""above_one_rate"":0.001139384732244588,""below_one_rate"":0.014812001519179644,""below_zero_rate"":0.014812001519179644,""bootstrap_draws"":2000,""bootstrap_intervals"":{""auprc"":{""estimate_mean"":0.8941103827339193,""percentile_2_5"":0.858585837307572,""percentile_97_5"":0.9249626805929838},""auroc"":{""estimate_mean"":0.9453035134886006,""percentile_2_5"":0.9264253637359013,""percentile_97_5"":0.9615402318909326},""normalized_mae"":{""estimate_mean"":0.12513416722581155,""percentile_2_5"":0.12071323395238517,""percentile_97_5"":0.12988682822893183},""original_scale_mae"":{""estimate_mean"":0.5005366689032462,""percentile_2_5"":0.4828529358095407,""percentile_97_5"":0.5195473129157273},""original_scale_rmse"":{""estimate_mean"":0.6419541893086059,""percentile_2_5"":0.6189182946272657,""percentile_97_5"":0.6670529769951173},""pearson"":{""estimate_mean"":0.715673167282522,""percentile_2_5"":0.6894245722376349,""percentile_97_5"":0.7408532259124505},""spearman"":{""estimate_mean"":0.6340855016595551,""percentile_2_5"":0.5993717598177501,""percentile_97_5"":0.6676488256146769}},""mae_rank"":3,""normalized_mae"":0.1251564462553825,""original_scale_mae"":0.50062578502153,""original_scale_rmse"":0.6421887532919749,""pearson"":0.7157050987783329,""prediction_range_1_to_5"":[0.4885144829750061,5.120031833648682],""prediction_range_normalized"":[-0.12787137925624847,1.0300079584121704],""sample_count"":2633,""spearman"":0.634502488281551,""unclipped"":true,""unique_patients"":868}"
RES-P9-PRIMARY-STANDARD_CBM,CAT-C,pooled_primary_result,P9,standard_cbm,,,Pooled primary regression metrics and patient-bootstrap intervals,How accurately does the model predict radiologist-assessed malignancy?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-TASK,repo://,artifacts/baseline_v2/audit/p9/task.json,models.standard_cbm.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T07""]","[""RPT-F04""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""above_five_rate"":0.0,""above_one_rate"":0.0,""below_one_rate"":0.008735282947208508,""below_zero_rate"":0.008735282947208508,""bootstrap_draws"":2000,""bootstrap_intervals"":{""auprc"":{""estimate_mean"":0.865742545821153,""percentile_2_5"":0.8262864974841109,""percentile_97_5"":0.8995025632888372},""auroc"":{""estimate_mean"":0.9326425394968229,""percentile_2_5"":0.9113464664854916,""percentile_97_5"":0.9509822379203305},""normalized_mae"":{""estimate_mean"":0.1255448083533024,""percentile_2_5"":0.12070738089703531,""percentile_97_5"":0.1305673852225552},""original_scale_mae"":{""estimate_mean"":0.5021792334132096,""percentile_2_5"":0.48282952358814124,""percentile_97_5"":0.5222695408902208},""original_scale_rmse"":{""estimate_mean"":0.6496271457897796,""percentile_2_5"":0.625398074233483,""percentile_97_5"":0.6749286710402288},""pearson"":{""estimate_mean"":0.7071880757171425,""percentile_2_5"":0.6770184128814823,""percentile_97_5"":0.7354497058556111},""spearman"":{""estimate_mean"":0.6086806961313131,""percentile_2_5"":0.5700089957159363,""percentile_97_5"":0.6482126604151551}},""mae_rank"":4,""normalized_mae"":0.12551688602903263,""original_scale_mae"":0.5020675441161305,""original_scale_rmse"":0.6496108062620162,""pearson"":0.7075778765808272,""prediction_range_1_to_5"":[0.8584733009338379,4.57982063293457],""prediction_range_normalized"":[-0.03538167476654053,0.8949551582336426],""sample_count"":2633,""spearman"":0.6090980976923562,""unclipped"":true,""unique_patients"":868}"
RES-P9-PRIMARY-MIXED_CEM,CAT-C,pooled_primary_result,P9,mixed_cem,,,Pooled primary regression metrics and patient-bootstrap intervals,How accurately does the model predict radiologist-assessed malignancy?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-TASK,repo://,artifacts/baseline_v2/audit/p9/task.json,models.mixed_cem.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T07""]","[""RPT-F04""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""above_five_rate"":0.0,""above_one_rate"":0.0,""below_one_rate"":0.004177744018230156,""below_zero_rate"":0.004177744018230156,""bootstrap_draws"":2000,""bootstrap_intervals"":{""auprc"":{""estimate_mean"":0.8779403036043076,""percentile_2_5"":0.8332293305456432,""percentile_97_5"":0.9155403131290395},""auroc"":{""estimate_mean"":0.9417490467506627,""percentile_2_5"":0.9201888020479849,""percentile_97_5"":0.9604964930188076},""normalized_mae"":{""estimate_mean"":0.1210323034097616,""percentile_2_5"":0.1167190838589523,""percentile_97_5"":0.12551930501325295},""original_scale_mae"":{""estimate_mean"":0.4841292136390464,""percentile_2_5"":0.4668763354358092,""percentile_97_5"":0.5020772200530118},""original_scale_rmse"":{""estimate_mean"":0.628186863178664,""percentile_2_5"":0.6039540069920727,""percentile_97_5"":0.6536775451230399},""pearson"":{""estimate_mean"":0.7294489156069814,""percentile_2_5"":0.7010191864803486,""percentile_97_5"":0.7565006384561138},""spearman"":{""estimate_mean"":0.6396093912846869,""percentile_2_5"":0.603623055865869,""percentile_97_5"":0.673385479232167}},""mae_rank"":2,""normalized_mae"":0.12103491232382986,""original_scale_mae"":0.48413964929531944,""original_scale_rmse"":0.6283405243104132,""pearson"":0.7296343128723418,""prediction_range_1_to_5"":[0.8229032754898071,4.935056209564209],""prediction_range_normalized"":[-0.04427418112754822,0.9837640523910522],""sample_count"":2633,""spearman"":0.6399537566979854,""unclipped"":true,""unique_patients"":868}"
RES-P9-PRIMARY-LEARNED_SOFTMAX_GAM,CAT-C,pooled_primary_result,P9,learned_softmax_gam,,,Pooled primary regression metrics and patient-bootstrap intervals,How accurately does the model predict radiologist-assessed malignancy?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-TASK,repo://,artifacts/baseline_v2/audit/p9/task.json,models.learned_softmax_gam.pooled,d62eb69568af89301c816fc505c129ab2a60cece3aff1dd66ccec567d20dfa01,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T07""]","[""RPT-F04""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""above_five_rate"":0.0,""above_one_rate"":0.0,""below_one_rate"":0.0,""below_zero_rate"":0.0,""bootstrap_draws"":2000,""bootstrap_intervals"":{""auprc"":{""estimate_mean"":0.9028823346319613,""percentile_2_5"":0.867807314643353,""percentile_97_5"":0.9339515261842878},""auroc"":{""estimate_mean"":0.9495508558071576,""percentile_2_5"":0.9265844102283367,""percentile_97_5"":0.9684939540444358},""normalized_mae"":{""estimate_mean"":0.12011083132287566,""percentile_2_5"":0.11557236214806622,""percentile_97_5"":0.12462021242779783},""original_scale_mae"":{""estimate_mean"":0.48044332529150263,""percentile_2_5"":0.4622894485922649,""percentile_97_5"":0.49848084971119133},""original_scale_rmse"":{""estimate_mean"":0.6174198286777282,""percentile_2_5"":0.5924257632672197,""percentile_97_5"":0.6422767384833347},""pearson"":{""estimate_mean"":0.7403490304296608,""percentile_2_5"":0.7117326153700143,""percentile_97_5"":0.76760363335146},""spearman"":{""estimate_mean"":0.6524202134556778,""percentile_2_5"":0.615986201338622,""percentile_97_5"":0.6883372180967421}},""mae_rank"":1,""normalized_mae"":0.12010733180685629,""original_scale_mae"":0.48042932722742515,""original_scale_rmse"":0.6175917269812211,""pearson"":0.7405389222160152,""prediction_range_1_to_5"":[1.008050775155425,4.681605100631714],""prediction_range_normalized"":[0.002012693788856268,0.9204012751579285],""sample_count"":2633,""spearman"":0.6527851614938172,""unclipped"":true,""unique_patients"":868}"
