catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-PAIRED-MAE-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,CAT-D,paired_primary_comparison,P9,,,,Paired patient-bootstrap Delta-MAE,Which model has lower MAE under shared patient draws?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,paired_mae_A_minus_B.blackbox__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,2000,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]","[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ci_crosses_zero"":false,""estimate_mean"":0.020093343611743607,""model_a"":""blackbox"",""model_b"":""learned_softmax_gam"",""percentile_2_5"":0.010073622205203338,""percentile_97_5"":0.030523432834704677,""sign_convention"":""MAE_A - MAE_B; positive supports B""}"
RES-P9-PAIRED-MAE-BLACKBOX-VS-MIXED_CEM,CAT-D,paired_primary_comparison,P9,,,,Paired patient-bootstrap Delta-MAE,Which model has lower MAE under shared patient draws?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,paired_mae_A_minus_B.blackbox__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,2000,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]","[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ci_crosses_zero"":false,""estimate_mean"":0.016407455264199802,""model_a"":""blackbox"",""model_b"":""mixed_cem"",""percentile_2_5"":0.005968858881329181,""percentile_97_5"":0.027164894839436498,""sign_convention"":""MAE_A - MAE_B; positive supports B""}"
RES-P9-PAIRED-MAE-BLACKBOX-VS-STANDARD_CBM,CAT-D,paired_primary_comparison,P9,,,,Paired patient-bootstrap Delta-MAE,Which model has lower MAE under shared patient draws?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,paired_mae_A_minus_B.blackbox__standard_cbm,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,2000,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]","[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ci_crosses_zero"":true,""estimate_mean"":-0.001642564509963342,""model_a"":""blackbox"",""model_b"":""standard_cbm"",""percentile_2_5"":-0.014824797371022809,""percentile_97_5"":0.01204391050627455,""sign_convention"":""MAE_A - MAE_B; positive supports B""}"
RES-P9-PAIRED-MAE-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,CAT-D,paired_primary_comparison,P9,,,,Paired patient-bootstrap Delta-MAE,Which model has lower MAE under shared patient draws?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,paired_mae_A_minus_B.mixed_cem__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,2000,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]","[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ci_crosses_zero"":true,""estimate_mean"":0.003685888347543801,""model_a"":""mixed_cem"",""model_b"":""learned_softmax_gam"",""percentile_2_5"":-0.005942393636736955,""percentile_97_5"":0.013024758144862682,""sign_convention"":""MAE_A - MAE_B; positive supports B""}"
RES-P9-PAIRED-MAE-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,CAT-D,paired_primary_comparison,P9,,,,Paired patient-bootstrap Delta-MAE,Which model has lower MAE under shared patient draws?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,paired_mae_A_minus_B.standard_cbm__learned_softmax_gam,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,2000,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]","[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ci_crosses_zero"":false,""estimate_mean"":0.02173590812170695,""model_a"":""standard_cbm"",""model_b"":""learned_softmax_gam"",""percentile_2_5"":0.010943600640431666,""percentile_97_5"":0.03259062086426784,""sign_convention"":""MAE_A - MAE_B; positive supports B""}"
RES-P9-PAIRED-MAE-STANDARD_CBM-VS-MIXED_CEM,CAT-D,paired_primary_comparison,P9,,,,Paired patient-bootstrap Delta-MAE,Which model has lower MAE under shared patient draws?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-BOOTSTRAP,repo://,artifacts/baseline_v2/audit/p9/bootstrap.json,paired_mae_A_minus_B.standard_cbm__mixed_cem,6f834a47aeb2f10c5cfe84cd6ccdbc5c4229ff047f504b770e5d82ddd20bbb71,2000,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,"[""RPT-T08""]","[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ci_crosses_zero"":false,""estimate_mean"":0.018050019774163147,""model_a"":""standard_cbm"",""model_b"":""mixed_cem"",""percentile_2_5"":0.0058794406754833425,""percentile_97_5"":0.030067175104401593,""sign_convention"":""MAE_A - MAE_B; positive supports B""}"
