catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-CONCEPT-STANDARD_CBM-INTERNALSTRUCTURE,CAT-H,categorical_concept_result,P9,standard_cbm,,internalStructure,Pooled categorical concept fidelity,How faithfully is the full reader-vote target predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.internalStructure,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T12""]","[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ground_truth_semantics"":""full reader vote distribution; modal label display-only"",""hard_modal_macro_f1"":0.24966622162883845,""hard_sample_count"":2625,""multiclass_brier"":0.006894532460591853,""soft_cross_entropy"":0.03895045405401969,""soft_sample_count"":2633,""true_tie_count"":8}"
RES-P9-CONCEPT-STANDARD_CBM-CALCIFICATION,CAT-H,categorical_concept_result,P9,standard_cbm,,calcification,Pooled categorical concept fidelity,How faithfully is the full reader-vote target predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,standard_cbm.pooled.calcification,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T12""]","[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ground_truth_semantics"":""full reader vote distribution; modal label display-only"",""hard_modal_macro_f1"":0.31382922250827927,""hard_sample_count"":2578,""multiclass_brier"":0.04911064110446913,""soft_cross_entropy"":0.20717083890659907,""soft_sample_count"":2633,""true_tie_count"":55}"
RES-P9-CONCEPT-MIXED_CEM-INTERNALSTRUCTURE,CAT-H,categorical_concept_result,P9,mixed_cem,,internalStructure,Pooled categorical concept fidelity,How faithfully is the full reader-vote target predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,mixed_cem.pooled.internalStructure,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T12""]","[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ground_truth_semantics"":""full reader vote distribution; modal label display-only"",""hard_modal_macro_f1"":0.24966622162883845,""hard_sample_count"":2625,""multiclass_brier"":0.013565063771646159,""soft_cross_entropy"":0.08272390448890315,""soft_sample_count"":2633,""true_tie_count"":8}"
RES-P9-CONCEPT-MIXED_CEM-CALCIFICATION,CAT-H,categorical_concept_result,P9,mixed_cem,,calcification,Pooled categorical concept fidelity,How faithfully is the full reader-vote target predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,mixed_cem.pooled.calcification,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T12""]","[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ground_truth_semantics"":""full reader vote distribution; modal label display-only"",""hard_modal_macro_f1"":0.3098312470634747,""hard_sample_count"":2578,""multiclass_brier"":0.06770655792196739,""soft_cross_entropy"":0.2624260211317417,""soft_sample_count"":2633,""true_tie_count"":55}"
RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-INTERNALSTRUCTURE,CAT-H,categorical_concept_result,P9,learned_softmax_gam,,internalStructure,Pooled categorical concept fidelity,How faithfully is the full reader-vote target predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,learned_softmax_gam.pooled.internalStructure,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T12""]","[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ground_truth_semantics"":""full reader vote distribution; modal label display-only"",""hard_modal_macro_f1"":0.31207052872685626,""hard_sample_count"":2625,""multiclass_brier"":0.007273487807661317,""soft_cross_entropy"":0.03812797031534167,""soft_sample_count"":2633,""true_tie_count"":8}"
RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-CALCIFICATION,CAT-H,categorical_concept_result,P9,learned_softmax_gam,,calcification,Pooled categorical concept fidelity,How faithfully is the full reader-vote target predicted?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-CONCEPT,repo://,artifacts/baseline_v2/audit/p9/concept.json,learned_softmax_gam.pooled.calcification,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a,2633,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,"[""RPT-T12""]","[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""ground_truth_semantics"":""full reader vote distribution; modal label display-only"",""hard_modal_macro_f1"":0.312731908772181,""hard_sample_count"":2578,""multiclass_brier"":0.0480570545460712,""soft_cross_entropy"":0.20130280139427664,""soft_sample_count"":2633,""true_tie_count"":55}"
