catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-INTERVENTION-STANDARD_CBM-RANDOM_PERMUTATION,CAT-I,intervention_curve,P9,standard_cbm,,,k=0..8 intervention (random_permutation),How do concept corrections change task error and extreme discrimination?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-INTERVENTION,repo://,artifacts/baseline_v2/audit/p9/intervention.json,standard_cbm.random_permutations,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7,9,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""Delta_iAUC"":-0.003645797628777925,""Delta_iMAE"":0.0006452504466891718,""auroc_curve"":[0.9327436039409039,0.932143284028089,0.9310542621351543,0.9303956284441165,0.9294692874908818,0.9286542129177984,0.9271023721007902,0.9257438412388714,0.9236955203417095],""iAUC"":0.929097806312126,""iMAE"":0.5014222936694414,""k"":[0,1,2,3,4,5,6,7,8],""mae_curve"":[0.5020675441161305,0.5009820915602998,0.5000961668285276,0.4997957220001896,0.4995656616448764,0.4997577695373465,0.502276167263566,0.5041093086360067,0.5075233796533053],""ordering"":""random_permutation"",""positive_delta_means_improvement"":true}"
RES-P9-INTERVENTION-STANDARD_CBM-ERROR_FIRST,CAT-I,intervention_curve,P9,standard_cbm,,,k=0..8 intervention (error_first),How do concept corrections change task error and extreme discrimination?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-INTERVENTION,repo://,artifacts/baseline_v2/audit/p9/intervention.json,standard_cbm.error_first,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7,9,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""Delta_iAUC"":-0.010611668468373359,""Delta_iMAE"":-0.0038921125845842175,""auroc_curve"":[0.9327436039409039,0.9265474903542771,0.918633163709231,0.9165765813272866,0.9181190181137449,0.9214763449082009,0.9236252098329247,0.9238581133932732,0.9236955203417091],""iAUC"":0.9221319354725306,""iMAE"":0.5059596567007147,""k"":[0,1,2,3,4,5,6,7,8],""mae_curve"":[0.5020675441161305,0.49521313514946597,0.5081506283258861,0.5070292122107566,0.5095877678867263,0.5079739504524842,0.507532001120197,0.507395096575483,0.5075233796533051],""ordering"":""error_first"",""positive_delta_means_improvement"":true}"
RES-P9-INTERVENTION-MIXED_CEM-RANDOM_PERMUTATION,CAT-I,intervention_curve,P9,mixed_cem,,,k=0..8 intervention (random_permutation),How do concept corrections change task error and extreme discrimination?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-INTERVENTION,repo://,artifacts/baseline_v2/audit/p9/intervention.json,mixed_cem.random_permutations,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7,9,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""Delta_iAUC"":0.012502768476283399,""Delta_iMAE"":0.028096813720137837,""auroc_curve"":[0.9416862217769223,0.9455702621703099,0.9492515446339899,0.9523146658932515,0.9548512053857849,0.9573013068965824,0.9597810706532726,0.9617190919397787,0.9637593271284298],""iAUC"":0.9541889902532057,""iMAE"":0.4560428355751816,""k"":[0,1,2,3,4,5,6,7,8],""mae_curve"":[0.48413964929531944,0.47552576515123507,0.4680557156127228,0.46008163835715443,0.45398552541589565,0.448274435887001,0.443361312190601,0.43907933574469565,0.43581826318897504],""ordering"":""random_permutation"",""positive_delta_means_improvement"":true}"
RES-P9-INTERVENTION-MIXED_CEM-ERROR_FIRST,CAT-I,intervention_curve,P9,mixed_cem,,,k=0..8 intervention (error_first),How do concept corrections change task error and extreme discrimination?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-INTERVENTION,repo://,artifacts/baseline_v2/audit/p9/intervention.json,mixed_cem.error_first,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7,9,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""Delta_iAUC"":0.017968454750793228,""Delta_iMAE"":0.03953630075306608,""auroc_curve"":[0.9416862217769223,0.952883170300841,0.9592638489730272,0.9600021093152634,0.9618257881368594,0.9631265325493711,0.9636802278060485,0.9637329606876368,0.9637593271284309],""iAUC"":0.9596546765277155,""iMAE"":0.44460334854225336,""k"":[0,1,2,3,4,5,6,7,8],""mae_curve"":[0.48413964929531944,0.45848000994623944,0.44840423686446973,0.4425203673250877,0.44003275024307537,0.43666432684926365,0.43518447997410564,0.4355616608936386,0.4358182631889745],""ordering"":""error_first"",""positive_delta_means_improvement"":true}"
RES-P9-INTERVENTION-LEARNED_SOFTMAX_GAM-RANDOM_PERMUTATION,CAT-I,intervention_curve,P9,learned_softmax_gam,,,k=0..8 intervention (random_permutation),How do concept corrections change task error and extreme discrimination?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-INTERVENTION,repo://,artifacts/baseline_v2/audit/p9/intervention.json,learned_softmax_gam.random_permutations,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7,9,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""Delta_iAUC"":-0.005891042880621811,""Delta_iMAE"":-0.003277844563741583,""auroc_curve"":[0.9492929399460368,0.9492604213357234,0.9491218217452823,0.9478854114483087,0.9449802251694046,0.9422655364252382,0.9387635897030259,0.9354074054543376,0.9297685905379619],""iAUC"":0.943401897065415,""iMAE"":0.48370717179116673,""k"":[0,1,2,3,4,5,6,7,8],""mae_curve"":[0.48042932722742515,0.4775292454742012,0.47639129827598886,0.47600763360014936,0.478706962951715,0.48270250900734973,0.4891134829141809,0.4955978821023615,0.5067873927793491],""ordering"":""random_permutation"",""positive_delta_means_improvement"":true}"
RES-P9-INTERVENTION-LEARNED_SOFTMAX_GAM-ERROR_FIRST,CAT-I,intervention_curve,P9,learned_softmax_gam,,,k=0..8 intervention (error_first),How do concept corrections change task error and extreme discrimination?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-INTERVENTION,repo://,artifacts/baseline_v2/audit/p9/intervention.json,learned_softmax_gam.error_first,1463c23754524722e9c6ccfe28e3772b6c2a29b8821d7b6b94e1f6f82394efa7,9,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-HOW,"[""RPT-T17""]","[""RPT-F12""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""Delta_iAUC"":-0.017265349662949125,""Delta_iMAE"":-0.01613537031395862,""auroc_curve"":[0.9492929399460368,0.9464497587470668,0.9321811198706287,0.9258224132324377,0.924534852040323,0.9281953929039118,0.9297773793515614,0.9297290408767721,0.9297685905379632],""iAUC"":0.9320275902830877,""iMAE"":0.49656469754138377,""k"":[0,1,2,3,4,5,6,7,8],""mae_curve"":[0.48042932722742515,0.46447166454860855,0.4900730597756068,0.4997633795821875,0.504905227508824,0.5058933303955906,0.5069875762531311,0.5068149822637351,0.506787392779348],""ordering"":""error_first"",""positive_delta_means_improvement"":true}"
