metric,model_A,model_B,estimate,ci_low,ci_high,ci_crosses_zero
MAE_A_minus_MAE_B,Black-box,Learned-softmax GAM,0.020093343611743607,0.010073622205203338,0.030523432834704677,False
MAE_A_minus_MAE_B,Black-box,Mixed-type CEM,0.016407455264199802,0.005968858881329181,0.027164894839436498,False
MAE_A_minus_MAE_B,Black-box,Standard CBM,-0.001642564509963342,-0.014824797371022809,0.01204391050627455,True
MAE_A_minus_MAE_B,Mixed-type CEM,Learned-softmax GAM,0.003685888347543801,-0.005942393636736955,0.013024758144862682,True
MAE_A_minus_MAE_B,Standard CBM,Learned-softmax GAM,0.02173590812170695,0.010943600640431666,0.03259062086426784,False
MAE_A_minus_MAE_B,Standard CBM,Mixed-type CEM,0.018050019774163147,0.0058794406754833425,0.030067175104401593,False
AUROC_B_minus_AUROC_A,Black-box,Learned-softmax GAM,0.004247342318556985,-0.0051224848362705026,0.013521203103369494,True
AUROC_B_minus_AUROC_A,Black-box,Mixed-type CEM,-0.0035544667379378563,-0.012824388395639177,0.005166755115555209,True
AUROC_B_minus_AUROC_A,Black-box,Standard CBM,-0.012660973991777713,-0.021942995197920305,-0.0036326369440412014,False
AUROC_B_minus_AUROC_A,Mixed-type CEM,Learned-softmax GAM,0.007801809056494842,-0.0008097784930727825,0.017776210126315525,True
AUROC_B_minus_AUROC_A,Standard CBM,Learned-softmax GAM,0.0169083163103347,0.006414013048041176,0.027326317550376206,False
AUROC_B_minus_AUROC_A,Standard CBM,Mixed-type CEM,0.009106507253839855,-0.0019544434795194577,0.020280646914596048,True
