model,concept,metric,value
Learned-softmax GAM,sphericity,spearman,0.4350899154727833
Learned-softmax GAM,margin,mae,0.14547141192306187
Learned-softmax GAM,margin,pearson,0.6833592591610684
Learned-softmax GAM,margin,rmse,0.19826073308937975
Learned-softmax GAM,margin,sample_count,2633
Learned-softmax GAM,margin,spearman,0.6478455646857657
Learned-softmax GAM,lobulation,mae,0.1272190256593229
Learned-softmax GAM,lobulation,pearson,0.4509477798747783
Learned-softmax GAM,lobulation,rmse,0.18958358618247842
Learned-softmax GAM,lobulation,sample_count,2633
Learned-softmax GAM,lobulation,spearman,0.4721243684769252
Learned-softmax GAM,spiculation,mae,0.11442881150843566
Learned-softmax GAM,spiculation,pearson,0.49852718278923136
Learned-softmax GAM,spiculation,rmse,0.1838277666326701
Learned-softmax GAM,spiculation,sample_count,2633
Learned-softmax GAM,spiculation,spearman,0.45611311346419464
Learned-softmax GAM,texture,mae,0.11118697126187664
Learned-softmax GAM,texture,pearson,0.7861150941772284
Learned-softmax GAM,texture,rmse,0.1791066256966138
Learned-softmax GAM,texture,sample_count,2633
Learned-softmax GAM,texture,spearman,0.5828593064121105
