model,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,normalized_mae,normalized_mae_ci_low,normalized_mae_ci_high,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,prediction_min_1_to_5,prediction_max_1_to_5,below_one_rate,above_five_rate,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high
Black-box,0.50062578502153,0.4828529358095407,0.5195473129157273,0.6421887532919749,0.6189182946272657,0.6670529769951173,0.1251564462553825,0.12071323395238517,0.12988682822893183,0.7157050987783329,0.6894245722376349,0.7408532259124505,0.634502488281551,0.5993717598177501,0.6676488256146769,0.4885144829750061,5.120031833648682,0.014812001519179644,0.001139384732244588,0.9453072129793199,0.9264253637359013,0.9615402318909326,0.8937364805652924,0.858585837307572,0.9249626805929838
Standard CBM,0.5020675441161305,0.48282952358814124,0.5222695408902208,0.6496108062620162,0.625398074233483,0.6749286710402288,0.12551688602903263,0.12070738089703531,0.1305673852225552,0.7075778765808272,0.6770184128814823,0.7354497058556111,0.6090980976923562,0.5700089957159363,0.6482126604151551,0.8584733009338379,4.57982063293457,0.008735282947208508,0.0,0.9327436039409039,0.9113464664854916,0.9509822379203305,0.8656788191305134,0.8262864974841109,0.8995025632888372
Mixed-type CEM,0.48413964929531944,0.4668763354358092,0.5020772200530118,0.6283405243104132,0.6039540069920727,0.6536775451230399,0.12103491232382986,0.1167190838589523,0.12551930501325295,0.7296343128723418,0.7010191864803486,0.7565006384561138,0.6399537566979854,0.603623055865869,0.673385479232167,0.8229032754898071,4.935056209564209,0.004177744018230156,0.0,0.9416862217769223,0.9201888020479849,0.9604964930188076,0.877350607027036,0.8332293305456432,0.9155403131290395
Learned-softmax GAM,0.48042932722742515,0.4622894485922649,0.49848084971119133,0.6175917269812211,0.5924257632672197,0.6422767384833347,0.12010733180685629,0.11557236214806622,0.12462021242779783,0.7405389222160152,0.7117326153700143,0.76760363335146,0.6527851614938172,0.615986201338622,0.6883372180967421,1.008050775155425,4.681605100631714,0.0,0.0,0.9492929399460368,0.9265844102283367,0.9684939540444358,0.9025510497645429,0.867807314643353,0.9339515261842878
