series_key,decision,exact_duplicate_plane_groups,different_duplicate_plane_groups,raw_dicom_modified
02b556d221dfcd678936f9e12bed22d3a9b17905021620f6093149f420d6f99d,EXCLUDED_DIFFERENT_DUPLICATE_PLANE,0,5,false
cc2f1f6389084459fc15040649fdd47da2c50b2ce9d41d7d08185090bf9f8e65,EXCLUDED_DIFFERENT_DUPLICATE_PLANE,0,1,false
ee8fcb4cf275c52e977f153e2d907f25918d3a6cd772c707298acae90132cf5e,EXCLUDED_DIFFERENT_DUPLICATE_PLANE,0,1,false
fbfad69b3464e68aa43581c87a62e0463b77da4900e6bb36b7dfb97654f86e65,ELIGIBLE_EXACT_DUPLICATE_DEDUPLICATED,1,0,false
fed15fa97f94e5b59a8c59cb046ef7d710ca23826a1a70173d118ea69317c91e,EXCLUDED_DIFFERENT_DUPLICATE_PLANE,0,5,false
